video,frame,text
video_1,video_1_frame0.jpg,20935021/36129/20150530 11:12
video_1,video_1_frame30.jpg,"Along time ago in a galaxy far,  faraway. . ."
video_1,video_1_frame60.jpg,"Along time ago in a galaxy far,  faraway. . ."
video_1,video_1_frame90.jpg,"Along time ago in a galaxy far,  faraway. . ."
video_1,video_1_frame120.jpg,"Along time ago in a galaxy far,  faraway. . ."
video_1,video_1_frame150.jpg,"Along time ago in a galaxy far,  faraway. . ."
video_1,video_1_frame180.jpg,"Along time ago in a galaxy far,  faraway. . ."
video_1,video_1_frame210.jpg,20935021/36129/20150530 11:12
video_1,video_1_frame240.jpg,20935021/36129/20150530 11:12
video_1,video_1_frame270.jpg,LIM
video_1,video_1_frame300.jpg,LIV
video_1,video_1_frame330.jpg,LACK MATTER!
video_1,video_1_frame360.jpg,BLACK LIVES MATTER!
video_1,video_1_frame390.jpg,BLACK LIVES MATTER!
video_1,video_1_frame420.jpg,BLACK LIVES MATTER!
video_1,video_1_frame450.jpg,BLACK LIVES MATTER!
video_1,video_1_frame480.jpg,BLACK LIVES MATTER!
video_1,video_1_frame510.jpg,BLACK LIVES MATTER!  George Floyd
video_1,video_1_frame540.jpg,GEORGE FLOYd
video_1,video_1_frame570.jpg,George Floyd
video_1,video_1_frame600.jpg,George Floyd
video_1,video_1_frame630.jpg,George Floyd
video_1,video_1_frame660.jpg,George Floyd SAY HIS NAME IN
video_1,video_1_frame690.jpg,George Floyd SAY HIS NAME! !
video_1,video_1_frame720.jpg,George Floyd SAY HIS NAME! !
video_1,video_1_frame750.jpg,George Floyd SAY HIS NAME! !
video_1,video_1_frame780.jpg,George Floyd SAY HIS NAME! !
video_1,video_1_frame810.jpg,George Floyd SAY HIS NAME! !
video_1,video_1_frame840.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a"
video_1,video_1_frame870.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a"
video_1,video_1_frame900.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should"
video_1,video_1_frame930.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should"
video_1,video_1_frame960.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a black man was killed. Or should"
video_1,video_1_frame990.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a black man was killed. Or should say nigger? Better yet, gorilla."
video_1,video_1_frame1020.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a black man was killed. Or should say nigger? Better yet, gorilla."
video_1,video_1_frame1050.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should say nigger? Better yet, gorilla."
video_1,video_1_frame1080.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a black man was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty"
video_1,video_1_frame1110.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a black man was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty"
video_1,video_1_frame1140.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a black man was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need ot"
video_1,video_1_frame1170.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a black man was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need of"
video_1,video_1_frame1200.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need of"
video_1,video_1_frame1230.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a black man was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame1260.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should say n lge r? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame1290.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should 1 say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame1320.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a black man was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame1350.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should say nigger? Better yet, gorilla,  Blacks are nasty gorillas/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame1380.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a black man was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame1410.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should I say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame1440.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020. a black man was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame1470.jpg,"George Floyd SAY HIS NAME M Over the summer of 2020, a black man was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need ot lynching. Fuck all niggers."
video_1,video_1_frame1500.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame1530.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame1560.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need ot lynching. Fuck all niggers."
video_1,video_1_frame1590.jpg,"George Fi oya SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys In need ot lynching. Fuck all niggers."
video_1,video_1_frame1620.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020. a blackman was killed. Or should say nigger? Better yet, gorilla,  Blacks are nasty gorillas/ monkeys In need ot lynching. Fuck all niggers."
video_1,video_1_frame1650.jpg,"George Floyd SAY HIS NAMEH Over the summer ot 2020. a blackman was killed. Or should say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys In need of lynching. Fuck all niggers."
video_1,video_1_frame1680.jpg,"George Floyd SAY HIS NAME! !  Over the summer of 2020, a blackman was killed. Or should 1 say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame1710.jpg,"SAY HIS NAME! !  Over the summer ot 2020. a blackman was killed. Or shou id say nigger? Better yet, gorilla.  Black s are nasty gorillas/ monkeys in need ot lynching. Fuck all niggers."
video_1,video_1_frame1740.jpg,"George Floyd SAY HIS NAME#  Over the summer of 2020, a blackman was killed. Or should I say nigger? Better yet, gorilla.  Blacks are nasty gorillas/ monkeys In need of lynching. Fuck all niggers."
video_1,video_1_frame1770.jpg,"SAY HIS NAME M Over the summer of 2020. a blackman was killed. Or should say nigger? Better yet, goll a.  Black s are nasty gorillas/ monkeys in need ot lynching. Fuck all niggers."
video_1,video_1_frame1800.jpg,"SAY HIS NAME#  Over the summer of 2020. a say nigger? Better yet, gorilla.  Black s are nasty gorillas/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame1830.jpg,"SAY HIS NAME! !  Over the summer of 2020, a say nigger? Better yet, gori lia.  Black are nasty gorillas/ monkeys in need ot lynching. Fuck all niggers."
video_1,video_1_frame1860.jpg,"SAY HIS NAME M Over the summer of 2020.  say nigger? Better yet, gorilla.  Black are nasty y n ching. Fuck all nig gers."
video_1,video_1_frame1890.jpg,"SAY HIS NAME H Over the summer of 2020. a say mig ger' Better yet, goll la.  Black s are nasty gorillas/ monkeys in need of lynching. Fuck all nig gers."
video_1,video_1_frame1920.jpg,SAY HIS NAME M Over the summer of 2020. a say nigger? Hoster y ek. goul la.  Black are nasty gorillas/ monkeys in need ot lynching. Fuck all niggers.
video_1,video_1_frame1950.jpg,"SAY HIS NAME M Over the summer of 2020. a say nigger? Better yet, gorilla.  gorillas/ monkeys in need ot Black are nasty lynching. Fuck all niggers."
video_1,video_1_frame1980.jpg,"SAY HIS NAME N Over the summer of 2020, a卧 c kman was killed. Or shou is say n rger? Better yet, gorilla.  B licks are nasty gori ll as/ monkeys in need ot lynching. Fuck all nig gers."
video_1,video_1_frame2010.jpg,"SAY HIS NAME H Over the summer of 2020, s say nigger? Better yet, gorilla.  Bie ck are nasty gori lli as/ monkeys in need of lynching. Fuck all niggers."
video_1,video_1_frame2040.jpg,SAY HS NAME H!  Over the summer of 2050. a卧 1 say nigger? Better yet. gort lla.  B lach s are nasty gor ll as/ monkeys in need ot lynching. Fuck all niggers.
video_1,video_1_frame2070.jpg,SAY HS NAME H
video_1,video_1_frame2100.jpg,SAY HIS NAME H
video_1,video_1_frame2130.jpg,SAY HIS NAME H
video_1,video_1_frame2160.jpg,SAY HIS NAME H
video_1,video_1_frame2190.jpg,SAY HS NAME
video_1,video_1_frame2220.jpg,SAY HIS NAME N
video_1,video_1_frame2250.jpg,SAY HIS NAME#
video_1,video_1_frame2280.jpg,SAY HIS NAME N
video_1,video_1_frame2310.jpg,SAY HIS NAME IS
video_1,video_1_frame2340.jpg,SAY HIS NAME H
video_1,video_1_frame2370.jpg,SAY HIS NAME IN
video_1,video_1_frame2400.jpg,SAY HIS NAME
video_1,video_1_frame2430.jpg,SAY HE NAME
video_1,video_1_frame2460.jpg,SAY HIS NAME
video_1,video_1_frame2490.jpg,SAY HII NAME
video_1,video_1_frame2520.jpg,EAYHIBAMEN
video_1,video_1_frame2550.jpg,A
video_1,video_1_frame2580.jpg,"209
— CHRISTMAS COLLECTION 2021 —"
video_1,video_1_frame2610.jpg,"209
— CHRISTMAS COLLECTION 2021 —"
video_1,video_1_frame2640.jpg,1
video_1,video_1_frame2670.jpg,100
video_1,video_1_frame2700.jpg,100
video_1,video_1_frame2730.jpg,C
video_1,video_1_frame2760.jpg,C
video_1,video_1_frame2790.jpg,C
video_1,video_1_frame2820.jpg,C
video_2,video_2_frame0.jpg,THE
video_2,video_2_frame30.jpg,THE
video_2,video_2_frame60.jpg,THE
video_2,video_2_frame90.jpg,THE
video_2,video_2_frame120.jpg,THE
video_2,video_2_frame150.jpg,THE
video_2,video_2_frame180.jpg,THE
video_2,video_2_frame210.jpg,THE
video_2,video_2_frame240.jpg,THE
video_2,video_2_frame270.jpg,THE
video_2,video_2_frame300.jpg,THE
video_2,video_2_frame330.jpg,THE
video_2,video_2_frame360.jpg,THE
video_2,video_2_frame390.jpg,THE
video_2,video_2_frame420.jpg,THE
video_2,video_2_frame450.jpg,THE
video_2,video_2_frame480.jpg,THE
video_2,video_2_frame510.jpg,THE
video_2,video_2_frame540.jpg,THE
video_2,video_2_frame570.jpg,THE
video_2,video_2_frame600.jpg,THE
video_2,video_2_frame630.jpg,THE
video_2,video_2_frame660.jpg,THE
video_2,video_2_frame690.jpg,THE
video_2,video_2_frame720.jpg,THE
video_2,video_2_frame750.jpg,THE
video_2,video_2_frame780.jpg,THE
video_2,video_2_frame810.jpg,THE
video_2,video_2_frame840.jpg,THE
video_2,video_2_frame870.jpg,THE
video_2,video_2_frame900.jpg,THE
video_2,video_2_frame930.jpg,THE
video_2,video_2_frame960.jpg,THE
video_2,video_2_frame990.jpg,THE
video_2,video_2_frame1020.jpg,THE
video_2,video_2_frame1050.jpg,THE
video_2,video_2_frame1080.jpg,THE
video_2,video_2_frame1110.jpg,THE
video_2,video_2_frame1140.jpg,THE
video_2,video_2_frame1170.jpg,THE
video_2,video_2_frame1200.jpg,THE
video_2,video_2_frame1230.jpg,THE
video_2,video_2_frame1260.jpg,THE
video_2,video_2_frame1290.jpg,THE
video_2,video_2_frame1320.jpg,THE
video_2,video_2_frame1350.jpg,THE
video_2,video_2_frame1380.jpg,THE
video_2,video_2_frame1410.jpg,THE
video_2,video_2_frame1440.jpg,THE
video_2,video_2_frame1470.jpg,THE
video_2,video_2_frame1500.jpg,THE
video_2,video_2_frame1530.jpg,THE
video_2,video_2_frame1560.jpg,THE
video_2,video_2_frame1590.jpg,THE
video_2,video_2_frame1620.jpg,THE
video_2,video_2_frame1650.jpg,THE
video_2,video_2_frame1680.jpg,THE
video_2,video_2_frame1710.jpg,THE
video_2,video_2_frame1740.jpg,THE
video_2,video_2_frame1770.jpg,THE
video_2,video_2_frame1800.jpg,THE
video_2,video_2_frame1830.jpg,THE
video_2,video_2_frame1860.jpg,THE
video_2,video_2_frame1890.jpg,THE
video_2,video_2_frame1920.jpg,THE
video_2,video_2_frame1950.jpg,THE
video_2,video_2_frame1980.jpg,THE
video_2,video_2_frame2010.jpg,THE
video_2,video_2_frame2040.jpg,THE
video_2,video_2_frame2070.jpg,THE
video_2,video_2_frame2100.jpg,THE
video_2,video_2_frame2130.jpg,THE
video_2,video_2_frame2160.jpg,THE
video_2,video_2_frame2190.jpg,THE
video_2,video_2_frame2220.jpg,THE
video_2,video_2_frame2250.jpg,THE
video_2,video_2_frame2280.jpg,THE
video_2,video_2_frame2310.jpg,THE
video_2,video_2_frame2340.jpg,THE
video_2,video_2_frame2370.jpg,THE
video_2,video_2_frame2400.jpg,THE
video_2,video_2_frame2430.jpg,THE
video_2,video_2_frame2460.jpg,THE
video_2,video_2_frame2490.jpg,THE
video_2,video_2_frame2520.jpg,THE
video_2,video_2_frame2550.jpg,THE
video_2,video_2_frame2580.jpg,THE
video_2,video_2_frame2610.jpg,THE
video_2,video_2_frame2640.jpg,THE
video_2,video_2_frame2670.jpg,THE
video_2,video_2_frame2700.jpg,THE
video_2,video_2_frame2730.jpg,THE
video_2,video_2_frame2760.jpg,THE
video_2,video_2_frame2790.jpg,THE
video_2,video_2_frame2820.jpg,THE
video_2,video_2_frame2850.jpg,THE
video_2,video_2_frame2880.jpg,THE
video_2,video_2_frame2910.jpg,THE
video_2,video_2_frame2940.jpg,THE
video_2,video_2_frame2970.jpg,THE
video_2,video_2_frame3000.jpg,THE
video_2,video_2_frame3030.jpg,THE
video_2,video_2_frame3060.jpg,THE
video_2,video_2_frame3090.jpg,THE
video_2,video_2_frame3120.jpg,THE
video_2,video_2_frame3150.jpg,THE
video_2,video_2_frame3180.jpg,THE
video_2,video_2_frame3210.jpg,THE
video_3,video_3_frame0.jpg,20935021/36129/20140530 11:12
video_3,video_3_frame30.jpg,R
video_3,video_3_frame60.jpg,PRO
video_3,video_3_frame90.jpg,R
video_3,video_3_frame120.jpg,R
video_3,video_3_frame150.jpg,R
video_3,video_3_frame180.jpg,Ry
video_3,video_3_frame210.jpg,RER
video_3,video_3_frame240.jpg,RRO
video_3,video_3_frame270.jpg,FRO
video_3,video_3_frame300.jpg,ARO
video_3,video_3_frame330.jpg,ARG
video_3,video_3_frame360.jpg,TRO
video_3,video_3_frame390.jpg,TRO
video_3,video_3_frame420.jpg,TRO
video_3,video_3_frame450.jpg,TRO
video_3,video_3_frame480.jpg,TRO
video_3,video_3_frame510.jpg,TRO
video_3,video_3_frame540.jpg,TRO
video_3,video_3_frame570.jpg,TRO
video_3,video_3_frame600.jpg,ARO
video_3,video_3_frame630.jpg,ARO
video_3,video_3_frame660.jpg,ARO
video_3,video_3_frame690.jpg,ARO
video_3,video_3_frame720.jpg,ARO
video_3,video_3_frame750.jpg,ARO
video_3,video_3_frame780.jpg,ARO
video_3,video_3_frame810.jpg,ARO
video_3,video_3_frame840.jpg,TRO
video_3,video_3_frame870.jpg,TRO
