video_file_name,start,end,text,label
hate_video_1.mp4,0.0,34.0,,0
hate_video_1.mp4,34.0,94.0,Thank,0
hate_video_1.mp4,94.0,94.92816666666667,,0
hate_video_2.mp4,0.0,6.0,I like,0
hate_video_2.mp4,6.0,126.0,"and I like tea, but I don't like niggers, no siree. There's two known things that'll make me puke, that's a hog -eating sloth and a big black spook, you know it. But I show it, like a barnyard booster, I crow it, and the N -A -A -C -P would sure like to get a hold of a nigger hatin' me Roses are red and violets are blue And niggers are black, you know that's true But they don't mind cause what the heck You gotta be black to get a welfare check And I'm broke, no joke I ain't got a nickel for a coke And I ain't black,, you see. So Uncle Sam won't help poor nigger hatin' me. Jigaboo, jigaboo, where are you? I was here in the wood while I was watchin' you. Jigaboo, jigaboo, come out, no. So I scared all the white men way down south, you know it. But I show it, stick your black jet out, and I blow it. And the endP can't keep you away from a little old nigger hatin' me. Mirror, mirror on the wall, who is the blackest of them all? A man named King, it ain't no doubt, and he's causin' lots of trouble with his baboon mouth. He's a -doin'. It's caused by the trouble he's a -brewin'. And the NAACP can't win if white men stick with nigger hatin' me. Hey, Mr. President, what do you say? When are we whites gonna have our day? The niggers had theirs such a long, long time. I'm a -white and it's time that I have mine. You know it, cause I show it. Stick it back, get out and I'll blow it. And the NAACP can't win if a white man stick with nigger hatin' me. Nigger hatin' me. Nigger hatin' me. Nigger hatin' me. Nigger hatin'",1
hate_video_2.mp4,126.0,129.16,,0
hate_video_3.mp4,0.0,3.0,I simply must get through!,0
hate_video_3.mp4,3.0,100.0,"man! Bobby two pistols in his bitch! Yeah man! Fuck all those niggers man! Martin Luther King deserved to be killed! And fuck your nigger! Just fuck those apart! Fuck those niggers man! Fuck all niggers, fuck all niggers, fuck all niggers, fuck all those niggers, fuck all those niggers, fuck all those niggers, fuck all those niggers, fuck all those niggers. Rapping's still my shit, rapping's still my shit, they wanna rap and steal my shit because they can't get shit. Go and get a job, stop trying to rob, stop trying to fuck my mom, my dick is bigger than yards. Fuck all niggers, they can burn in hell. Fuck Rosa Parks, I'll slap that bitch as well. Niggers need to burn, niggers need to learn. Niggers can't pass class, niggers can't learn. Stupid ass bitch, stupid ass black fucks. Try to fucking take my shit, get a fucking job. Yeah, fuck all those niggers, fuck all those niggers, fuck all those niggers, yeah. Bitch my name is Bobby Two Pistols You try to rob me I got a pistol I'm shooting a black nigger in his head again. And bitch, I am not George Zimmerman. I'm gonna kill that nigger dead. Kill that nigger dead. Record that shit and put it on Worldstar as well. Fuck all those niggers. They can burn in hell. Fuck Eric Gartner. He fat as fucking",1
hate_video_3.mp4,100.0,101.0,,0
hate_video_3.mp4,101.0,231.0,"all those niggers. I'll choke him out. Fuck all those niggers. I'll shoot it out if a niggas gets mad then we can shoot it out bitch i don't fight with niggas they'll be down they like to jump they like to rob they like to take a nigga car and rap at the same time stupid ass niggas all they can do is run They can never get a motherfucking 9 to 5 Stupid ass niggers don't know 5 plus 5 They just know that if I can do a rhyme I can get time Yeah, fuck all those niggers, fuck all those niggers, fuck all those niggers, fuck all those niggers, yeah, fuck all those niggers, fuck all those niggers, Fuck all those niggers, yeah, fuck all those niggers. Niggers can burn in hell. Trayvon as well. Niggers can burn in hell. Niggers can burn in hell. Nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger ,ols in this bitch. I saw the niggers in this bitch. You motherfuckers used to be slaves. Now you think you can ride in my Escalade. Stupid ass nigger better clean my car good. Before I get this whip out and then shoot you in your hood. Dumb ass While I drank lemonade Ya fuckin' slave Buy me two pistols man Fuck all those niggers man Real nigger Продолжение",1
hate_video_3.mp4,231.0,231.36,,0
non_hate_video_2.mp4,0.0,23.666666666666668,,0
hate_video_4.mp4,0.0,13.0,Fuck Jews. We woos Cags. We woos the real Jews and the real Egyptians man. Bang,1
hate_video_4.mp4,13.0,13.833333333333334,,0
